Data zamówienia	Kraj odbiorcy	Cena jednostkowa	Iloœæ	Nazwa produktu	Nazwisko	Stanowisko	Region
04.07.1996	Francja	14,00 z³	12	Queso Cabrales	Buchanan	Dyrektor ds. sprzeda¿y	
04.07.1996	Francja	9,80 z³	10	Singaporean Hokkien Fried Mee	Buchanan	Dyrektor ds. sprzeda¿y	
04.07.1996	Francja	34,80 z³	5	Mozzarella di Giovanni	Buchanan	Dyrektor ds. sprzeda¿y	
05.07.1996	Niemcy	42,40 z³	40	Manjimup Dried Apples	Suyama	Przedstawiciel handlowy	
05.07.1996	Niemcy	18,60 z³	9	Tofu	Suyama	Przedstawiciel handlowy	
08.07.1996	Brazylia	42,40 z³	35	Manjimup Dried Apples	Peacock	Przedstawiciel handlowy	WA
08.07.1996	Brazylia	7,70 z³	10	Jack's New England Clam Chowder	Peacock	Przedstawiciel handlowy	WA
08.07.1996	Francja	16,80 z³	20	Louisiana Fiery Hot Pepper Sauce	Leverling	Przedstawiciel handlowy	WA
08.07.1996	Francja	16,80 z³	6	Gustaf's Knäckebröd	Leverling	Przedstawiciel handlowy	WA
08.07.1996	Francja	15,60 z³	15	Ravioli Angelo	Leverling	Przedstawiciel handlowy	WA
08.07.1996	Brazylia	16,80 z³	15	Louisiana Fiery Hot Pepper Sauce	Peacock	Przedstawiciel handlowy	WA
09.07.1996	Belgia	2,00 z³	25	Geitost	Peacock	Przedstawiciel handlowy	WA
09.07.1996	Belgia	64,80 z³	40	Sir Rodney's Marmalade	Peacock	Przedstawiciel handlowy	WA
09.07.1996	Belgia	27,20 z³	40	Camembert Pierrot	Peacock	Przedstawiciel handlowy	WA
10.07.1996	Brazylia	16,00 z³	40	Maxilaku	Leverling	Przedstawiciel handlowy	WA
10.07.1996	Brazylia	14,40 z³	42	Chartreuse verte	Leverling	Przedstawiciel handlowy	WA
10.07.1996	Brazylia	10,00 z³	20	Gorgonzola Telino	Leverling	Przedstawiciel handlowy	WA
11.07.1996	Szwajcaria	19,20 z³	21	Pâte chinois	Buchanan	Dyrektor ds. sprzeda¿y	
11.07.1996	Szwajcaria	8,00 z³	21	Longlife Tofu	Buchanan	Dyrektor ds. sprzeda¿y	
11.07.1996	Szwajcaria	3,60 z³	15	Guaraná Fantástica	Buchanan	Dyrektor ds. sprzeda¿y	
12.07.1996	Szwajcaria	15,20 z³	25	Inlagd Sill	Dodsworth	Przedstawiciel handlowy	
12.07.1996	Szwajcaria	44,00 z³	30	Raclette Courdavault	Dodsworth	Przedstawiciel handlowy	
12.07.1996	Szwajcaria	13,90 z³	35	Pavlova	Dodsworth	Przedstawiciel handlowy	
12.07.1996	Szwajcaria	15,20 z³	20	Chang	Dodsworth	Przedstawiciel handlowy	
15.07.1996	Brazylia	26,20 z³	15	Perth Pasties	Leverling	Przedstawiciel handlowy	WA
15.07.1996	Brazylia	10,40 z³	12	Original Frankfurter grüne Soße	Leverling	Przedstawiciel handlowy	WA
16.07.1996	Wenezuela	35,10 z³	25	Schoggi Schokolade	Peacock	Przedstawiciel handlowy	WA
16.07.1996	Wenezuela	14,40 z³	6	Chartreuse verte	Peacock	Przedstawiciel handlowy	WA
16.07.1996	Wenezuela	10,40 z³	15	Original Frankfurter grüne Soße	Peacock	Przedstawiciel handlowy	WA
17.07.1996	Austria	15,20 z³	50	Chang	Davolio	Przedstawiciel handlowy	WA
17.07.1996	Austria	25,60 z³	6	Mascarpone Fabioli	Davolio	Przedstawiciel handlowy	WA
17.07.1996	Austria	17,00 z³	65	Chef Anton's Gumbo Mix	Davolio	Przedstawiciel handlowy	WA
18.07.1996	Meksyk	8,00 z³	10	Sir Rodney's Scones	Peacock	Przedstawiciel handlowy	WA
18.07.1996	Meksyk	20,80 z³	1	Gravad lax	Peacock	Przedstawiciel handlowy	WA
19.07.1996	Niemcy	12,00 z³	21	Outback Lager	Peacock	Przedstawiciel handlowy	WA
19.07.1996	Brazylia	8,00 z³	20	Sir Rodney's Scones	Peacock	Przedstawiciel handlowy	WA
19.07.1996	Niemcy	39,40 z³	15	Tarte au sucre	Peacock	Przedstawiciel handlowy	WA
19.07.1996	Brazylia	14,40 z³	20	Steeleye Stout	Peacock	Przedstawiciel handlowy	WA
19.07.1996	Niemcy	7,70 z³	16	Jack's New England Clam Chowder	Peacock	Przedstawiciel handlowy	WA
19.07.1996	Niemcy	15,60 z³	50	Ravioli Angelo	Peacock	Przedstawiciel handlowy	WA
22.07.1996	USA	17,00 z³	12	Chef Anton's Gumbo Mix	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
22.07.1996	USA	24,00 z³	15	Uncle Bob's Organic Dried Pears	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
22.07.1996	USA	30,40 z³	2	Gnocchi di nonna Alice	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
23.07.1996	Austria	13,90 z³	60	Pavlova	Dodsworth	Przedstawiciel handlowy	
23.07.1996	Austria	20,70 z³	60	Nord-Ost Matjeshering	Dodsworth	Przedstawiciel handlowy	
23.07.1996	Austria	8,00 z³	36	Longlife Tofu	Dodsworth	Przedstawiciel handlowy	
23.07.1996	Austria	3,60 z³	28	Guaraná Fantástica	Dodsworth	Przedstawiciel handlowy	
24.07.1996	Szwecja	15,20 z³	35	Chang	Suyama	Przedstawiciel handlowy	
24.07.1996	Szwecja	7,70 z³	25	Jack's New England Clam Chowder	Suyama	Przedstawiciel handlowy	
25.07.1996	Francja	31,20 z³	30	Alice Mutton	Fuller	Wiceprezes ds. sprzeda¿y	WA
25.07.1996	Francja	12,00 z³	20	Outback Lager	Fuller	Wiceprezes ds. sprzeda¿y	WA
26.07.1996	Finlandia	30,40 z³	12	Queso Manchego La Pastora	Leverling	Przedstawiciel handlowy	WA
29.07.1996	Niemcy	14,40 z³	15	Lakkalikööri	Peacock	Przedstawiciel handlowy	WA
29.07.1996	Niemcy	14,70 z³	50	Boston Crab Meat	Peacock	Przedstawiciel handlowy	WA
29.07.1996	Niemcy	44,00 z³	70	Raclette Courdavault	Peacock	Przedstawiciel handlowy	WA
30.07.1996	Wenezuela	99,00 z³	10	Thüringer Rostbratwurst	Callahan	Koordynator sprzeda¿y wewnêtrznej	WA
